"GRID_NO","LATITUDE","LONGITUDE","ALTITUDE","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
69047,41.85114,-8.82302,51,900.09,897.57,914.88,893.81,858.49,887.82,897,858.96,916.64,909.08,944.84,946.06,932.02,905.3,916.19,867.9,907.46,859.32,892.84,890.86,882.63,870.77,914.13,907.9,922.55,946.21,988.1,1016.03,910.02,717.41,725.99,1041.18,989.3,962.43,999.5,858.37,934.67,815.87,930.07
69048,41.89897,-8.62591,131,927.87,924.72,897.57,887.82,830.25,892.24,928.76,868.96,961.06,921.42,976.47,961.77,953.68,932.81,908.39,889.14,966.08,886.16,895.79,895.35,884.42,884.72,926.9,924.27,948.86,977.98,1040.26,1022.53,979.23,882.27,906.74,1040.02,1026.87,933.84,998.38,874.73,952.12,925.26,978.04
69049,41.95395,-8.33218,289,885.78,888.13,906.87,864.45,791.24,870.11,895.12,856.85,935.31,879,991.19,1011.82,941.25,908.22,888.55,899.11,973.18,902.76,898.18,890.05,893.78,873.29,908.43,882.69,918.88,913.86,973.85,993.27,901.44,850.56,892.02,951.5,959.73,856.71,957,861.12,931.65,903.33,960.08
67048,41.4625,-8.49031,83,991.44,995.07,987.46,971.65,915.21,961.33,991.38,932.78,981.61,959.47,1035.25,1003.87,1013.53,931.45,911.42,869.41,931.98,877.92,888.54,863.12,898,922.54,978.29,957.17,984.42,1014.99,1091.24,1104.47,1030.31,890.92,894.99,1078.57,1060.7,1021.39,1058.53,920.85,993.04,930.83,976.43
68050,41.78944,-7.97179,825,868.9,852.19,853.84,843.87,785.73,826.05,878.45,878.08,919.13,851.34,990.91,1016.76,911.75,892.67,869.49,919.92,955.5,885.97,877.55,864.54,868.49,880.33,956.53,954.65,977.36,985.96,1057.46,1006.61,973.63,912.58,1003.98,945.93,1049.32,989.38,1008.98,932.37,1031.68,991.23,1121.13
66049,41.29839,-8.13262,229,964.78,989.84,1028.38,988.49,937.48,975.08,1011.83,937.84,978.52,932.81,1073.69,1062.04,1023.62,971.63,925.62,952.05,1030.46,923.19,899.36,882.64,902.93,912.05,1001.13,934.79,972.55,998.68,1085.52,1106.8,1062.56,1012.35,1050.05,1084.26,1094.11,984.67,1005.92,931.97,1016.67,1008.78,1049.47
63051,40.74657,-7.3613,448,978.9,960.82,976.33,971.2,882.52,919.17,971.11,960.01,958.94,906.8,1002.02,1042.41,1029.33,1038.7,982.54,1132.32,1137.96,1029.44,1014.29,984.27,1000.81,977.23,968.2,979.77,995.03,1008.16,1063.81,1073.91,1021.67,991.84,1150.58,1095.28,1106.4,1039.3,1022.86,943.18,1071.29,1063.63,1181.75
67054,41.77684,-6.73279,747,1027.01,1015.95,1035.2,1034.79,940.61,973.3,1028.46,1028.3,1006.85,927.14,1047.76,1090.63,1074.77,1071.16,939.01,1064.54,1091.46,954.08,871.32,902.55,904.15,966.93,1031.23,1003.5,1032.71,1031.33,1147.85,1125.1,1035.31,1026.07,1109.8,1044.44,1065.07,1060.23,1062.79,1044.64,1069.13,1034.78,1138.51
48044,37.14413,-8.41347,21,1271.31,1342.19,1321.18,1328.74,1283.3,1291.69,1313.66,1282.6,1255.94,1303.72,1282.89,1200.86,1294.28,1175.5,1176.66,1240.11,1236.52,1147.93,1089.27,1062.47,1081.98,1137.53,1246.67,1226.5,1338.96,1332.99,1332.84,1300.89,1320.05,1319.69,1350.37,1317.57,1349.08,1349.46,1235.01,1294.33,1337.26,1281.09,1391.32
49043,37.24443,-8.74371,77,1269.97,1342.22,1321.92,1330.02,1282.65,1291.69,1312.42,1282.74,1255.99,1302,1282.79,1201.31,1293.4,1044.47,1104.67,1127.82,1140.72,1093.97,1031.22,982.04,1038.6,1084.88,1169.76,1149.82,1231.74,1279.5,1315.84,1267.7,1276.84,1268.03,1309.21,1285.74,1320.14,1302.65,1223.21,1224.59,1265.53,1223.47,1323.75
59045,39.54864,-8.82408,173,1035.7,1098.56,1117.78,1122.53,1046.67,1071.11,1090.6,1056.33,1087.23,1050.57,1124.11,1136.76,1193.86,1045.35,1095.75,1129.75,1214.5,1119.9,1088.18,1091.07,1116.92,1095.29,1162.43,1124.57,1202.02,1245.37,1295.19,1198.39,1203.35,1192.2,1260.93,1280.45,1215.19,1202.68,1289.49,1095.6,1174.48,1269.07,1364.64
62047,40.31503,-8.44923,61,954.66,1002.46,1049.08,1047.76,994.11,995.29,1056.86,973.21,1019.12,973.14,1120.85,1112.84,1125.15,1044.75,972.57,1016.76,1109.02,1012.71,1049.29,1022.54,1023.89,1001.03,1014.16,928.88,994.64,985.39,1075.13,1027.04,997.66,980.32,1016.56,1048.72,1062.12,1008.17,1008.55,949.61,1006.54,1014.84,1089.02
60047,39.87736,-8.3206,256,990.99,1037.2,1089,1071.36,1023.71,1027.46,1097.56,1001.62,1033.83,993.85,1139.9,1137.82,1154.05,1157.33,1110.35,1112.69,1214.38,1105.89,1091.86,1016.33,1032.21,1074.45,1216.81,1192.6,1250.73,1273.18,1344.4,1237.86,1221.31,1229.48,1318.92,1327.25,1355.24,1348.42,1321.21,1192.81,1340.56,1301.93,1424.81
61047,40.09626,-8.38461,136,954.57,1002.47,1048.89,1047.63,994.11,996.2,1056.86,973.21,1019.12,973.14,1123.88,1112.84,1125.89,1044.65,972.56,1019.32,1112.5,1064.84,1055.11,1016.21,1030.01,1031.08,1035.53,952.38,1022.68,1004.57,1099.68,1127.63,1084.32,1054.76,1114.21,1107.69,1123.32,1073.71,1048.79,949.87,1042.91,1070.43,1177.67
62049,40.42272,-7.87532,293,1004.31,1008.68,1104.94,1046.79,975.01,995.13,1050.7,1001.57,1006.64,969.21,1102.42,1123.14,1119.73,1054.04,982.07,1052.88,1132.2,1056.47,1077.64,1094.05,1102.34,1059.65,1100,989.54,1061.6,1066.97,1182.85,1155.28,1118.85,1051.85,1125.31,1045.97,1186.92,1109.13,1151.03,1022.96,1134.32,1125.26,1272.96
63050,40.69461,-7.65022,497,995.45,1004.21,1097.07,1023.79,951.3,933.44,985.58,984.92,978.1,950.1,1074.98,1096.83,1036.19,1021.65,967.21,1091.1,1096.36,1020.3,1001.45,1083.33,1073.77,1036.6,1133.42,1061.98,1143.94,1127.7,1266.69,1180.14,1155.83,1049.66,1135.99,981.77,1249.31,1143.31,1249.02,1096.8,1234.53,1170.91,1364.44
60050,40.03637,-7.46453,365,1103.3,1128.31,1167.37,1137.85,1112.96,1109.45,1168.11,1161.92,1165.83,1108.56,1233.52,1206.49,1230.78,1323.12,1133.88,1190.84,1275.29,1120.23,1133.75,1088.6,1102,1183.17,1255.28,1216.52,1276.28,1295.19,1377.38,1319.8,1252.16,1292.7,1353.32,1330.08,1363.3,1377.95,1341.58,1246.17,1303.09,1284.72,1432.93
60051,40.08771,-7.17836,409,1111.25,1135.21,1173.45,1143.13,1174.51,1172.14,1237.38,1199.75,1223.92,1124.98,1234.55,1208.61,1241.31,1332.94,1115.34,1163.1,1262.62,1159.75,1212.72,1088.6,1102.38,1183.17,1255.75,1216.52,1276.21,1295.07,1377.38,1319.8,1252.19,1292.7,1353.32,1328.62,1363.3,1377.95,1341.58,1246.17,1303.09,1282.87,1432.81
58045,39.32994,-8.75951,69,1035.7,1098.94,1117.78,1123.47,1046.67,1071.09,1090.6,1056.33,1087.23,1050.57,1124.11,1136.76,1193.86,1045.35,1095.82,1130.63,1214.5,1131.57,1088.75,1096.42,1090.72,1121.57,1231.33,1209.39,1290.49,1325.75,1369.14,1239.32,1301.17,1282.18,1344.82,1298.11,1231.62,1226.42,1295.38,1092.12,1169.74,1269.55,1367.89
59047,39.65835,-8.25719,192,1093.47,1148.28,1169.69,1162.15,1130.02,1107.63,1141.09,1124.27,1133.87,1122.2,1204.48,1197.32,1237.86,1217.46,1130.36,1121.3,1228.71,1116.1,1093.41,1091.43,1120.15,1144.65,1230.25,1193.32,1252.5,1273.18,1345.4,1250.59,1215.47,1221.61,1301.23,1323.56,1359.54,1353.83,1324.73,1246.3,1346.72,1315.74,1434.8
61053,40.40801,-6.66341,832,1046.74,1042.38,1108.28,1116.66,1035.81,1026.34,1131.6,1099.87,1072.12,1002.5,1124.72,1146.02,1116.79,1090.5,999.28,1142,1154.21,1036.96,1016.09,984.34,1000.23,1004.2,1039.42,1054.57,1063.08,1070.82,1144.81,1125.46,1082.57,1065.33,1260.66,1185.39,1196.61,1194.85,1030.99,1056.58,1188.38,1184.58,1338.87
53044,38.17615,-8.68749,59,1192.67,1269.14,1255.45,1263.47,1190.6,1218.13,1218.93,1212.17,1204.71,1216.56,1203.5,1181.52,1277.57,1151.72,1201.57,1265.31,1337.8,1176.01,1117.25,1119.92,1110.64,1180,1180.89,1189.81,1270.01,1236.02,1320.7,1230.99,1244.08,1220.05,1285.1,1285.57,1271.08,1249.68,1290.45,1214.56,1307.91,1283.01,1343.92
51047,37.90201,-7.77059,166,1353.22,1451.01,1540.42,1414.54,1384.87,1306.58,1415.65,1398.98,1356.85,1338.28,1398.43,1387.92,1430.38,1484.28,1316.61,1443.28,1560.72,1263.62,1213.82,1232.12,1237.11,1265.31,1332.87,1302.79,1366.45,1354.51,1448.39,1324.02,1276.86,1278.07,1452.55,1383.54,1399.71,1443.75,1415.68,1363.36,1464.94,1391.82,1589.22
55049,38.88589,-7.44783,308,1226.22,1285.44,1311.44,1261.69,1272.51,1206.28,1277.86,1272.28,1249.93,1220.43,1336.99,1314.13,1361.18,1388.04,1264.12,1347.26,1475.5,1234.99,1202.88,1204.47,1237.55,1259.5,1333.24,1311.12,1351.28,1365.44,1446.48,1369,1325.25,1317.75,1445.8,1366.26,1390.41,1417.7,1371.3,1302.35,1376.1,1328.71,1498.99
57048,39.27318,-7.84982,210,1176.35,1233.52,1257.04,1218.09,1197.79,1159.15,1210.69,1189.21,1202.16,1165.14,1262.23,1252.27,1289.52,1216.53,1219.28,1263.93,1396.6,1170.41,1196.18,1166.6,1190.05,1205.85,1311.22,1288.62,1332.54,1367.33,1444.84,1362.22,1328.53,1324.38,1398.64,1361.16,1378.92,1399.38,1353.16,1253.86,1374.79,1332.68,1469.32
38010,32.71738,-16.79408,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.37,1200.85,1236.33,1316.8,1409.71,1258.36,1247.26,138.11,0,0,0,0,0,0,0,0,0,0,0,0,0
39008,32.78419,-17.19314,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.19,1133.22,1186.03,1274.83,1354.73,1227.04,1248.14,138.11,0,0,0,0,0,0,0,0,0,0,0,0,0
39009,32.76318,-17.01986,577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.19,1133.22,1186.03,1274.83,1354.73,1227.04,1248.14,138.11,0,0,0,0,0,0,0,0,0,0,0,0,0
68047,41.64405,-8.76445,36,899.93,897.57,914.88,893.81,858.49,887.82,896.99,858.96,916.64,909.08,944.84,946.06,932.65,905.76,917.05,868.76,909.51,865.5,915.93,902.44,902.59,880.57,915.7,908.3,922.56,946.31,988.18,992.52,906.73,717.86,725.99,1041.99,989.26,962.43,999.1,854.78,934.08,813.37,924.95
70050,42.22659,-8.10483,274,883.1,881.89,903.25,862.39,788.14,867.18,891.56,860.69,941.3,859.55,1001.46,1025.78,934.28,891.08,878.48,905.17,982.91,908.61,903.3,893.07,891.94,862.57,896.98,877.4,912.3,913.8,969.14,973.78,898.86,852.7,905.21,950.83,962.99,835.43,915.22,844.85,928.28,903.23,960.14
67049,41.51703,-8.1985,276,886.88,907.6,925.37,914.17,833.05,896.67,933.09,889.19,963.83,900.68,1042.43,1030.29,1002.67,938.79,906.09,936.62,1022.02,914.64,899.36,881.3,899.04,896.68,977.97,956.94,985.72,978.43,1056.22,1048.66,1010.59,945.87,997.04,1050.4,1050.17,916,968.57,895.41,991.85,983.52,1071.27
68053,41.94599,-7.08943,744,1026.29,1015.95,1035.2,1034.8,940.63,973.3,1028.46,1027.86,1006.85,927.09,1047.44,1090.63,1073.12,1070.15,938.79,1063.1,1090.86,954.08,871.58,901.95,902.88,967.07,1031.69,1003.5,1033.37,1032.46,1150.27,1124.93,1034.23,1025.6,1107.99,1043.63,1064.06,1059.61,1063.76,1044.82,1069.13,1035.05,1137.85
64053,41.06778,-6.84248,416,1028.97,1017.11,1049.33,1043.97,959.97,984.79,1044.58,1043.58,1023.55,975.96,1073.98,1095.6,1083.55,1062.58,979.67,1086.74,1097.36,995.01,950.16,977.44,993.79,992.06,1021.84,1029.3,1041.13,1046.39,1133.56,1112.25,1063.22,1037.31,1191.22,1129.42,1133.64,1116.34,1036.92,1010.34,1100.48,1095.63,1235.38
65051,41.18527,-7.4862,378,960.73,935.21,951.37,949.3,863.63,911.21,948.81,933.39,938.34,895.95,981.58,996.14,1006.08,1036.53,960.42,1010.34,1073.58,975,929.13,977.76,985.4,973.62,961.51,966.22,972.17,978.22,1040.81,1044.93,1017.75,961.11,1063.43,1020.4,1031.6,979.56,1021.4,943.18,1014.94,964.86,1042.34
65055,41.3863,-6.3188,713,1043.19,1033.62,1091.49,1093.57,1012.41,1019.92,1106.33,1053.76,1043.03,978.66,1103.25,1118,1094.42,1077.77,981,1067.42,1104.17,996.04,941.13,975.51,984.95,1005.42,1054.21,1061.46,1072.93,1077.79,1168.95,1131.86,1079.13,1069.79,1195.34,1133.93,1139.07,1136.33,1042.64,1055.47,1072.79,1091.08,1219.39
47047,37.09893,-7.66692,5,1271.25,1343.23,1321.35,1328.29,1284.86,1291.69,1312.89,1282.53,1256.44,1300.19,1284.41,1200.9,1295.19,1306.03,1246.92,1347.22,1331.99,1201.94,1147.09,1143.22,1128.65,1221.14,1254.48,1225.81,1338.49,1370.1,1358.32,1292.7,1321.28,1333.15,1370.31,1300.19,1347.9,1373.72,1309.58,1314.7,1375.42,1320.99,1379.62
49046,37.40934,-7.92967,309,1311.33,1396.77,1432.2,1372.16,1334.57,1299.19,1364.85,1342.19,1306.21,1322.59,1340.44,1294.59,1361.79,1395.45,1280.83,1396.1,1444.97,1236.52,1171.62,1165.28,1177.03,1225.45,1295.04,1266.05,1352.41,1364.09,1416.72,1322.31,1312.68,1313.84,1441.23,1393.58,1415.85,1463.72,1418.43,1380.44,1412.84,1344.45,1544.68
49047,37.46174,-7.65444,158,1328.05,1432.67,1421.25,1344.01,1310.84,1330.38,1384.48,1357.12,1320.98,1338.74,1348.51,1316.26,1369.73,1416.24,1304.97,1404.93,1470.37,1260.71,1240.79,1249.87,1227.98,1238.87,1246.54,1217.48,1298.2,1362.96,1417.14,1320.21,1340.96,1342.24,1382.39,1338.28,1368.84,1429.68,1359.54,1352.79,1442.07,1407.38,1499.88
57043,38.99872,-9.25663,89,1117.14,1195.57,1186.75,1196.75,1099.79,1140.24,1121.42,1139.28,1153.56,1128.13,1124.21,1160.32,1261.11,1051.23,1158.16,1244.41,1312.01,1172.16,1093.17,1096.42,1089.47,1109.95,1182.43,1157.1,1229.43,1238.6,1292.35,1168.78,1215.36,1211.3,1260.97,1283.43,1230.03,1222.81,1291.87,1089.32,1168.44,1269.15,1365.92
58043,39.2135,-9.27122,47,1117.14,1195.57,1186.63,1196.64,1099.48,1140.79,1122.2,1139.28,1153.44,1128.13,1124.21,1160.27,1261.24,891.88,1190.6,1241,1312.39,1172.16,1093.17,1096.42,1090.21,1051.68,1182.18,1158.99,1228.79,1238.6,1292.47,1168.77,1214.74,1211.21,1257.81,1283.2,1005.5,1062.94,1304.55,1021.72,1016.25,1269.55,1363.76
60045,39.76334,-8.87971,67,1045.89,1094.66,1129.21,1110.69,1044.42,1064.51,1093.4,1042.58,1067.41,1039.51,1135.57,1114.67,1156.45,968.77,1051.62,1050.22,1131.73,1034.68,991.97,980.54,997.63,1020.69,1030.77,993.81,1072.13,1039.03,1116.85,1005.15,976.77,980.65,1005.25,1051.7,1084.4,1038.98,1043.81,1002.81,1044.11,1069.17,1128.12
62048,40.36929,-8.16248,171,954.36,1002.28,1048.72,1046.57,994.11,995.29,1056.86,973.21,1019.12,973.14,1121.32,1112.84,1125.23,1044.61,972.11,1016.98,1108.99,1051.17,1042.93,989.72,1025.04,1032,1076.54,971.72,1022.19,1000.75,1099.8,1127.63,1084.82,1052.97,1114.07,1107.69,1123.32,1073.71,1048.25,949.47,1052.81,1073.97,1176.74
59051,39.86786,-7.11853,231,1098.56,1146.82,1176.88,1158.97,1212.58,1179.96,1234.55,1209.02,1224.54,1162.79,1258.12,1238.39,1269.44,1343.57,1159.7,1195.15,1322.97,1146.86,1138.33,1174.08,1192.37,1198.73,1276.19,1267.23,1260.45,1301.36,1396.22,1335.54,1258.37,1310.39,1421.8,1299.44,1308.43,1344.87,1344.11,1262.17,1346.75,1306.51,1452.1
58047,39.43922,-8.19437,113,1088.54,1150.39,1163.27,1158.58,1128.75,1111.5,1145.86,1127.72,1135.65,1119.68,1197.32,1200.09,1249.1,1170.68,1151.06,1194.45,1314.01,1127.15,1093.41,1092.12,1123.8,1146.49,1261.12,1243.99,1301.94,1339,1383.69,1304.98,1305.34,1281.24,1385.71,1313.73,1231.8,1254.26,1310.22,1136.27,1202.44,1292.52,1417.66
62053,40.62804,-6.72253,709,1043.82,1033.62,1094.98,1088.8,1005.86,1016.29,1104.22,1083.57,1057.17,992.16,1111.68,1144.38,1109.59,1076.65,991.77,1122.23,1116.71,999.65,946.13,976.73,991.47,991.97,1024.41,1019.4,1041.16,1034.38,1119.52,1122.11,1034.65,1036.76,1248.79,1185.58,1183.09,1186.32,1037.17,1023.73,1165.71,1171.47,1321.32
55045,38.67311,-8.56939,112,1117.14,1195.57,1186.34,1196.53,1099.13,1146.36,1124.58,1139.28,1154.47,1128.13,1124.21,1160.3,1261.21,1210.44,1125.51,1244.74,1312.65,1172.16,1093.64,1096.42,1089.17,1169.93,1273.91,1241.25,1300.4,1364.36,1415.87,1318.46,1317.93,1296.1,1373.8,1333.78,1348.29,1322.87,1299.73,1179.99,1314.13,1298.19,1433.59
57042,38.91009,-9.40945,101,1117.14,1195.57,1186.75,1196.74,1099.79,1140.24,1121.42,1139.28,1153.56,1128.13,1124.21,1160.3,1261.16,1210.59,1125.92,1242.93,1312.01,1172.16,1093.17,1096.42,1089.31,1143.09,1182.56,1156.59,1230.27,1238.6,1290.88,1169.32,1215.36,1211.3,1263.06,1283.67,1334.25,1288.04,1288.33,1122.77,1253.78,1269.15,1365.92
51043,37.68541,-8.76837,48,1193.34,1269.64,1255.39,1263.06,1192.39,1220.09,1219.89,1212.35,1206.43,1217.64,1203.75,1181.64,1277.83,1186.82,1158.54,1237.71,1261.36,1155.62,1090.71,1074.2,1084.54,1148.38,1103.27,1073.58,1123.76,1281.04,1330.91,1248.3,1291.86,1279.04,1324.37,1290.28,1332.04,1314.39,1233.73,1196.46,1271.12,1229.34,1284.68
52045,38.01518,-8.38446,72,1247.17,1330.02,1349.45,1313.3,1256.28,1248.15,1284.46,1273.85,1254.82,1257.62,1267.86,1250.03,1328.82,1333.69,1230.05,1342.44,1400.44,1212.45,1141.65,1134.79,1155.56,1194.74,1211.54,1188.02,1244.69,1264.88,1353.07,1245.21,1219.37,1209.81,1313.85,1290.52,1321.28,1332.99,1309.61,1263.9,1361.48,1290.78,1403.4
50049,37.78472,-7.15909,205,1347.38,1441.95,1464.46,1358.27,1351.5,1329.94,1428.6,1394.88,1364.82,1338.09,1405.96,1391.19,1432.65,1444.2,1343.18,1473.58,1544.26,1289.94,1270.14,1280.37,1295.47,1326.56,1409.01,1376.73,1410.12,1369.02,1510.02,1327.3,1307.93,1319.59,1422.24,1345.92,1385.08,1431.41,1384.97,1351.63,1439.59,1407.54,1561.7
51046,37.84922,-8.04745,172,1353.22,1451.01,1540.42,1414.54,1384.87,1306.58,1417.7,1398.98,1356.85,1338.28,1398.43,1387.92,1430.38,1484.28,1316.58,1442.97,1560.72,1254.47,1140.98,1137.13,1159.05,1229.27,1332.32,1302.79,1366.29,1354.43,1448.39,1324.02,1276.86,1278.07,1452.55,1383.54,1399.71,1443.75,1415.68,1363.36,1464.94,1391.82,1589.22
51048,37.954,-7.49336,204,1353.22,1451.01,1540.42,1414.54,1384.87,1306.58,1417.12,1398.98,1356.85,1338.28,1398.43,1387.92,1430.38,1484.28,1316.65,1443.19,1560.72,1262.55,1237.34,1245.02,1270.66,1288.71,1332.57,1302.78,1366.62,1354.51,1448.39,1324.02,1276.88,1278.07,1452.55,1383.54,1399.71,1443.75,1415.68,1363.36,1464.94,1391.82,1589.22
52047,38.12197,-7.82947,166,1353.22,1451.01,1540.42,1414.54,1384.87,1306.58,1415.79,1398.98,1356.85,1338.28,1398.43,1387.92,1430.38,1483.87,1316.35,1442.02,1560.72,1255.94,1175.01,1186.04,1196.84,1255.25,1331.91,1302.76,1366.41,1347.52,1424,1290.97,1250.74,1252.35,1393.85,1359.21,1377.46,1430.38,1403.32,1357.76,1466.96,1421.3,1576.36
56047,39.00061,-8.07047,111,1193.09,1256.19,1269.47,1236.7,1214.61,1181.1,1222.15,1222.37,1217.99,1188.66,1267.08,1261.12,1319.8,1265.35,1228.69,1278.25,1423,1229.68,1195.17,1205.12,1227.17,1230.59,1318.53,1306.18,1343.73,1369.67,1427.15,1352.24,1334.44,1314.86,1410.49,1342.87,1362.5,1371.75,1316.13,1201.23,1338.03,1322.99,1458.17
38009,32.67743,-16.92055,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.37,1200.85,1236.6,1318.8,1409.71,1263.81,1247.78,143.37,0,0,0,0,0,0,0,0,0,0,0,0,0
66050,41.35185,-7.8413,498,961.31,934.52,950.56,949.3,863.63,911.52,948.04,933.23,938.34,895.95,981.58,996.14,990.56,1036.53,940.71,995.78,1049.58,960.77,917.4,944.56,937.43,962.69,959.08,962.27,968.72,978.29,1038.04,1042.26,1017.75,961.07,1063.43,1020.4,1030.18,979.56,1020.02,944.08,1014.9,964.9,1042.34
67050,41.5707,-7.90623,486,878.11,903.79,917.07,901.06,832.51,870.48,924.72,887.58,918.49,879.8,1020.2,1042.9,961.53,929.65,893.1,956.27,1004.77,892.7,870.29,854.58,871.17,888.76,962.29,981.48,995.47,1009.34,1102.72,1033.68,937.6,893.98,970.34,916.47,1033.67,960.29,1018.5,945.39,1025.53,972.88,1094.34
65047,40.97132,-8.58028,96,1065.77,1086.49,1151.69,1092.01,1038.49,1062.69,1101.53,1015.3,1032.21,1017.25,1159.9,1071.83,1081.03,957.01,906.84,882.53,955.94,894.88,889.4,863.59,899.1,948.35,1034.93,935.56,987.49,1005.22,1101.67,1052.23,1042.89,984.17,997.15,1050.52,1054.86,995.23,1022.09,933.64,991.62,971.94,986.56
66051,41.40445,-7.54955,644,993.97,974.95,993.14,991.64,902.41,941.89,988.22,980.3,972.02,911.63,1013.12,1043.47,1042.78,1053.36,981.54,1080.83,1150.01,995.45,876.08,905.43,902.6,954.15,964.38,973.42,1033.31,1007.08,1045.37,1045.93,1018.84,963.9,1063.31,1020.4,1031.92,979.52,1023.94,943.09,1015.41,965.04,1042.4
67051,41.62352,-7.61352,866,989.88,973.57,993.07,992.03,902.43,942.05,988.18,979.58,972.94,911.67,1016.24,1043.55,1037.89,1053.35,945.9,1063.83,1091.26,954.08,871.58,902.79,904.09,960.99,999.87,987.5,1036.06,1023.38,1097.68,1097.29,1066.47,1027.86,1144.36,1082.85,1089.9,1088.4,1047.12,993.55,1042.43,1045.74,1164.41
67053,41.72659,-7.0268,801,1027.01,1015.95,1035.2,1034.79,940.61,973.3,1028.46,1028.3,1006.76,927.14,1047.76,1090.63,1073.53,1071.03,939.01,1063.63,1091.46,954.13,871.58,902.55,904.04,966.93,1031.65,1003.96,1033.34,1032.35,1149.33,1125.18,1033.82,1026.72,1109.43,1044.44,1065.67,1059.89,1063.85,1044.64,1069.13,1034.98,1138.69
67055,41.82622,-6.43836,807,1026.83,1015.75,1035.2,1035.02,940.5,973.87,1028.46,1028.62,1007.39,927.14,1048.52,1090.79,1077.42,1071.15,939.18,1065.53,1091.74,954.14,871.71,902.55,904.41,967.01,1031.5,1004.27,1035.7,1030.62,1147.92,1112.31,1067.89,1061.55,1167.47,1094.51,1108.77,1132.06,1064.84,1044.7,1041.48,1039.6,1180.07
48048,37.29765,-7.32278,30,1323.04,1423.39,1365.34,1310.55,1270.43,1346.04,1383.66,1350.74,1318.67,1341.24,1345.54,1290.14,1384.9,1390.84,1306.16,1419.66,1438.68,1266.16,1248.68,1254.03,1241.52,1261.86,1279.3,1244.33,1323.4,1318.67,1384.1,1313.78,1318.59,1329.67,1322.25,1209.49,1262.24,1300,1218.88,1241.16,1396.34,1335.35,1391.38
49042,37.14111,-8.89825,66,1269.97,1342.22,1322.82,1329.48,1282.65,1291.69,1312.42,1282.91,1255.71,1301.89,1280.83,1201.45,1293.18,1044.36,1104.5,1126.31,1140.72,1093.97,1031.22,982.04,1036.5,1053.85,1167.35,1147.85,1231.84,1286.78,1307.18,1282.88,1256.25,1250.18,1281.74,1221.61,1248.17,1192.91,1028.45,1127.5,1239.88,1155.46,1293.96
59044,39.47481,-9.07587,35,1074.69,1129.86,1152.82,1136.61,1060.94,1094.12,1105.66,1069.94,1096.56,1065.87,1134.33,1128.46,1180.81,891.95,1137.4,1129.36,1213.99,1047.74,991.97,980.23,998.09,996.89,1160.48,1154.93,1221.24,1222.58,1290.93,1193.28,1203.43,1194.11,1247.99,1267.36,1006.36,1064.44,1290.17,1023.69,1015.68,1271.29,1368.92
63048,40.58817,-8.2268,296,994.05,1007.25,1049.3,1035.14,989.92,1022.8,1065.36,978.54,1009.1,987.84,1120.71,1089.61,1092.33,1027.87,941.29,948.38,1035,1027.85,1028.98,975.95,999.65,1027.5,1074.07,1017.65,1086.63,1034.99,1142.92,1099.21,1071.42,1012.57,1060.68,1025.61,1117.15,1042.47,1077.66,982.2,1093.94,1059.79,1168.14
