Main_crop,Crop,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,Note,
Cereals,Wheat,1.15,1.15,1.15,1.15,1.15,0.3,0,0,0,0,0.4,0.78,,
Cereals,Rye,1.15,1.15,0.3,0,0,0,0,0,0,0,0.4,0.78,Other_cereal,
Cereals,Oat,1.15,1.15,0.3,0,0,0,0,0,0,0,0.4,0.78,Other_cereal,
Cereals,Barley,1.15,1.15,0.3,0,0,0,0,0,0,0,0.4,0.78,Barley,este
Cereals,Triticale,1.15,1.15,0.3,0,0,0,0,0,0,0,0.4,0.78,Other_cereal,
Cereals,Maize,0,0,0,0.3,0.75,1.2,1.2,1.2,0.6,0,0,0,,
Cereals,Rice,0,0,0,0,1.2,1.15,1.1,1,1,0.8,0,0,,
Pulses,Beans,0,0,0,0.4,0.78,1.15,1.15,1.15,0.55,0,0,0,,
Pulses,Chickpea,0,0,0,0.4,0.78,1.15,1.15,0.55,0,0,0,0,Other dried pulse,este
Pulses,Other_dried_pulses,0,0,0,0.4,0.78,1.15,1.15,0.55,0,0,0,0,Other dried pulse,este
Potato,Potato,0,0,0.5,0.83,1.15,1.15,1.15,1.15,1.15,0.75,0,0,,
Industry_crops,Tomato,0,0,0.45,0.75,1.15,1.15,1.15,1.15,1.15,0.85,0,0,http://www.fao.org/land-water/databases-and-software/crop-information/tomato/en/,
Industry_crops,Sunflower,0,0,0,0.35,0.73,1.1,1.1,1.1,1.1,0.35,0,0,,
Fresh_fruits,Pear,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,http://www.fao.org/3/X0490E/x0490e0b.htm,
Fresh_fruits,Apple,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,http://www.fao.org/3/X0490E/x0490e0b.htm,
Fresh_fruits,Peach,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,http://www.fao.org/3/X0490E/x0490e0b.htm,
Fresh_fruits,Cherry,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,http://www.fao.org/3/X0490E/x0490e0b.htm,
Fresh_fruits,other_fresh,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,http://www.fao.org/3/X0490E/x0490e0b.htm,
Citrus,Orange,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,http://www.fao.org/3/X0490E/x0490e0b.htm,
Citrus,Tangerine,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,http://www.fao.org/3/X0490E/x0490e0b.htm,
Citrus,Lemon,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,http://www.fao.org/3/X0490E/x0490e0b.htm,
Dried_nuts,Almond,0,0.45,0.75,1,1,1,1,1,0.55,0,0,0,http://www.fao.org/3/X0490E/x0490e0b.htm,
Dried_nuts,Nuuts,0,0.45,0.75,1,1,1,1,1,0.55,0,0,0,http://www.fao.org/3/X0490E/x0490e0b.htm,
Dried_nuts,Chestnut,0,0.45,0.75,1,1,1,1,1,0.55,0,0,0,http://www.fao.org/3/X0490E/x0490e0b.htm,
Olive_grove,Olive_grove,0,0,0.3,0.9,0.6,0.6,0.6,0.6,0.9,0,0,0,http://www.fao.org/land-water/databases-and-software/crop-information/olive/en/,
Vineyard,Vineyard,0,0,0.25,0.45,0.65,0.75,0.75,0.65,0.55,0.45,0.35,0,http://www.fao.org/land-water/databases-and-software/crop-information/grape/en/,
Forage,forage_roots,0,0,0,0.3,0.73,1.15,1.15,1.15,1.15,0.25,0,0,,
Forage,Annual_mixtures,0,0,0,0.3,0.73,1.15,1.15,1.15,1.15,0.25,0,0,,
Forage,forage_sorghum,0,0,0,0.3,0.7,1.1,1.1,1.1,0.55,0,0,0,,
Forage,forage_oat,1.15,1.15,0.3,0,0,0,0,0,0,0,0.4,0.78,este,
Forage,forage_maize,0,0,0,0.3,0.75,1.2,1.2,1.2,0.6,0,0,0,,
Forage,other_forage,0,0,0,0.3,0.73,1.15,1.15,1.15,1.15,0.25,0,0,,
Horticulture,Horticulture_intensive,0,0,0.6,0.85,1.1,0.9,0.6,0.85,1.1,0.9,0,0,vegetable,
Horticulture,Horticulture_extensive,0,0,0.6,0.85,1.1,0.9,0.6,0.85,1.1,0.9,0,0,vegetable,
Pastures,Intensive_pasture,1,1,1,1,1,1,1,1,1,1,1,1,1,
Pastures,Extensive_pasture,1,1,1,1,1,1,1,1,1,1,1,1,1,
